feature,shap_win_mean,shap_loss_mean,shap_diff_mean,u_stat,p_value,bh_significant,abs_diff
log_quote_volume_expanding_var,0.0043561871347922825,0.0049536355765761346,-0.0005974484417838521,5552632.0,1.4538776171029841e-37,True,0.0005974484417838521
abs_return_rolling_iqr_4,0.001862110812789632,0.002451557376727218,-0.0005894465639375861,4719078.5,5.611316689600752e-107,True,0.0005894465639375861
return_rolling_mean_96,0.0005381700277654333,0.001124050903857574,-0.0005858808760921407,7027089.5,0.0006880865433849089,True,0.0005858808760921407
log_volume_rolling_min_1,-0.0006223158084694723,-4.068649764591098e-05,-0.0005816293108235613,6374876.0,0.00016114388848258743,True,0.0005816293108235613
garman_klass_var_rolling_min_24,0.0017858987748603332,0.0023656175781595246,-0.0005797188032991914,5995365.5,1.959624176947695e-15,True,0.0005797188032991914
close_to_vwap_rolling_mean_12,0.0015777046545703128,0.0021491357102786514,-0.0005714310557083386,7499828.0,8.738007147188839e-18,True,0.0005714310557083386
abs_return_rolling_mean_24,0.0046492840849664705,0.005220683132707625,-0.0005713990477411541,6745576.5,0.763730400908863,False,0.0005713990477411541
log_quote_volume_rolling_min_24,0.0024372174908021825,0.0030078153013284757,-0.0005705978105262932,5987325.0,9.571274526938583e-16,True,0.0005705978105262932
range_hl,0.013472808128962678,0.014041955316977639,-0.0005691471880149603,6609089.0,0.23039679722481943,False,0.0005691471880149603
abs_return_rolling_mean_4,0.0034569327462885546,0.004023153297463314,-0.0005662205511747596,6293911.0,3.1163739507689226e-06,True,0.0005662205511747596
abs_return,0.0029631960877558434,0.003528878456658281,-0.0005656823689024378,6772067.5,0.5540451289719222,False,0.0005656823689024378
log_volume_expanding_mean,0.0006147028656172805,5.6891447632920505e-05,0.00055781141798436,7788950.0,5.784863687895884e-32,True,0.00055781141798436
range_hl_rolling_max_4,0.006143877679626659,0.00669809905916705,-0.000554221379540391,6285605.5,1.991642793207106e-06,True,0.000554221379540391
range_hl_rolling_min_24,0.0032042108336445903,0.0037542630567467014,-0.0005500522231021111,6015618.0,1.1514249485957768e-14,True,0.0005500522231021111
garman_klass_var_rolling_var_24,0.00048043342103486886,0.0010154262836118459,-0.000534992862576977,5252985.5,2.4483213979635453e-58,True,0.000534992862576977
garman_klass_var_rolling_iqr_8,0.001971712914362335,0.0025003067191967823,-0.0005285938048344473,5630676.0,6.347314048601751e-33,True,0.0005285938048344473
garman_klass_var_rolling_var_96,0.0005980088233236274,0.001123501128442469,-0.0005254923051188416,6240010.0,1.4774820575346822e-07,True,0.0005254923051188416
squared_return_rolling_iqr_4,0.0021498946803220685,0.002670624024384331,-0.0005207293440622623,6636976.5,0.37192854732986647,False,0.0005207293440622623
parkinson_var_rolling_max_1,0.008372779602627613,0.008890601937474723,-0.0005178223348471095,6357188.0,7.259637479122148e-05,True,0.0005178223348471095
return_rolling_var_24,3.7506270991564566e-05,0.0005543146574210918,-0.0005168083864295273,4202826.5,3.3747652531967917e-168,True,0.0005168083864295273
range_hl_rolling_ptp_2,0.0010289423541235477,0.0015443695994956695,-0.0005154272453721219,5477995.5,2.658802700586394e-42,True,0.0005154272453721219
garman_klass_var_rolling_mean_96,0.0007206503529835386,0.0012306165349413455,-0.0005099661819578068,6221760.0,4.872464396205103e-08,True,0.0005099661819578068
close_to_vwap_rolling_min_2,0.0008756652129382508,0.0013851767146768317,-0.000509511501738581,7922354.5,5.6712440390170625e-40,True,0.000509511501738581
log_volume_lag_1,-0.0015115885307774842,-0.0010031685167512163,-0.0005084200140262679,6075614.0,1.641166282730245e-12,True,0.0005084200140262679
parkinson_var_rolling_max_2,0.006539946703932738,0.00704822415355172,-0.0005082774496189815,6333336.5,2.3397059393887073e-05,True,0.0005082774496189815
range_hl_lag_3,0.0017291204929979803,0.0022358015481358903,-0.00050668105513791,4603611.0,1.8530799209765057e-119,True,0.00050668105513791
range_pct_rolling_mean_48,0.0017581691150574516,0.0022638351479176986,-0.000505666032860247,6786393.0,0.4537727660155674,False,0.000505666032860247
parkinson_vol,0.01014907880792227,0.010640143975263023,-0.000491065167340753,6658675.5,0.5128510432014589,False,0.000491065167340753
log_volume_lag_2,-0.0002922115612292517,0.00019217588595767378,-0.0004843874471869255,6070472.5,1.0907929077784968e-12,True,0.0004843874471869255
buy_ratio_rolling_ptp_48,-0.0019177501827108388,-0.0024016726042049436,0.0004839224214941047,4315348.5,6.096953640381046e-154,True,0.0004839224214941047
squared_return_rolling_max_24,0.00170672066899325,0.0021869241706974287,-0.00048020350170417865,6567355.0,0.09723842592596783,False,0.00048020350170417865
range_pct_rolling_min_8,0.004355522865098626,0.004835241737749887,-0.0004797188726512608,6449551.5,0.0031513015030999168,True,0.0004797188726512608
abs_return_rolling_ptp_4,0.002918639879555141,0.003397495652528697,-0.00047885577297355564,5606340.0,2.4545656011884668e-34,True,0.00047885577297355564
squared_return_rolling_mean_24,-0.00018494053204733346,0.00028262890271216537,-0.00046756943475949884,6165950.5,1.2852462211957897e-09,True,0.00046756943475949884
