feature,importance
garman_klass_var_rolling_var_48,0.06255161240045122
squared_return_rolling_min_1,0.0621208030207798
close_to_vwap_rolling_mean_48,0.0620759568982494
abs_return_rolling_ptp_48,0.061637115139665716
close_to_vwap_rolling_mean_24,0.06160466694813254
log_low,0.061001896171626005
illiq_rolling_max_2,0.06023802082894558
illiq_rolling_max_24,0.05976338185996754
buy_ratio_rolling_iqr_2,0.059659200485761954
range_pct_rolling_var_12,0.05956653766281663
imbalance_rolling_max_48,0.05927342254905423
range_pct_rolling_ptp_96,0.0591098072172205
buy_ratio_lag_3,0.05909235999994704
range_pct_rolling_var_4,0.0588618651452181
return_rolling_var_48,0.05879545653306999
illiq_rolling_max_8,0.0585388400635545
imbalance_rolling_var_24,0.058356201558591954
imbalance_expanding_var,0.058055435944674105
close_to_vwap_rolling_max_8,0.057700729969642935
log_volume_rolling_max_24,0.057444686458705596
buy_ratio_rolling_ptp_24,0.05720240431234913
illiq_rolling_ptp_96,0.057019751139444366
garman_klass_var_rolling_min_48,0.056781131968515954
close_to_vwap_rolling_iqr_24,0.05609508880837382
log_volume_rolling_min_12,0.056028828623119246
log_quote_volume_rolling_iqr_24,0.05601473361460556
squared_return_rolling_mean_24,0.055809038328534843
log_volume_rolling_ptp_2,0.055743624787094125
range_hl_lag_2,0.05555233208837111
illiq_rolling_iqr_24,0.054857851144523705
log_volume_rolling_iqr_48,0.05482476223686442
imbalance_rolling_min_8,0.054378709586270085
imbalance_rolling_mean_48,0.05433525333619809
return_rolling_var_8,0.05432248085946193
log_quote_volume_rolling_ptp_4,0.05428409624754594
garman_klass_var_rolling_max_48,0.054188846808772326
parkinson_var_rolling_var_48,0.053773452848957334
range_hl_rolling_ptp_24,0.053696393376474506
abs_return_rolling_min_12,0.05368911043424416
range_hl_expanding_skew,0.053562243213239845
imbalance_rolling_iqr_4,0.05312623621898385
squared_return_rolling_var_48,0.05296536532879662
buy_ratio_rolling_var_96,0.052381642295134506
garman_klass_var_rolling_var_8,0.05225052845670757
close_to_vwap_rolling_var_4,0.052095886430073346
garman_klass_var_rolling_ptp_96,0.05176468636879826
return_rolling_iqr_2,0.05144699239722785
abs_return_rolling_ptp_96,0.051036659477723345
range_pct_rolling_min_96,0.050905975179982625
imbalance_rolling_ptp_4,0.05066959551724194
buy_ratio_lag_1,0.05050631891036013
squared_return_rolling_mean_8,0.05012914592118031
illiq_rolling_max_48,0.05009972407421138
illiq_rolling_min_12,0.0500403798547865
buy_ratio_rolling_ptp_4,0.05002391822611805
buy_ratio_rolling_max_2,0.049998045658322575
buy_ratio_rolling_ptp_12,0.04975205203352715
log_volume_rolling_mean_48,0.04946846598044637
range_hl_rolling_ptp_2,0.048947088779006796
illiq_rolling_var_12,0.04861783363425527
illiq_rolling_var_4,0.048104172334861146
